Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,146.500000,147.789993,146.350006,147.389999,147.389999,2682600
2017-10-10,147.710007,148.949997,147.649994,148.500000,148.500000,4032600
2017-10-11,148.399994,148.470001,147.279999,147.619995,147.619995,3702200
2017-10-12,147.559998,147.889999,146.770004,147.029999,147.029999,3264300
2017-10-13,147.479996,147.850006,146.940002,147.100006,147.100006,2506600
2017-10-16,147.220001,147.669998,146.509995,146.830002,146.830002,3052100
2017-10-17,146.630005,147.119995,146.179993,146.539993,146.539993,6372400
2017-10-18,157.119995,161.229996,156.949997,159.529999,159.529999,30490200
2017-10-19,159.800003,160.960007,159.089996,160.899994,160.899994,9914200
2017-10-20,161.070007,162.479996,159.770004,162.070007,162.070007,7868800
2017-10-23,162.050003,162.509995,159.539993,159.550003,159.550003,5779400
2017-10-24,159.649994,159.699997,155.169998,155.880005,155.880005,8194700
2017-10-25,156.009995,156.369995,153.059998,153.500000,153.500000,6921100
2017-10-26,154.309998,155.119995,153.539993,153.600006,153.600006,4300500
2017-10-27,154.539993,154.630005,152.910004,153.679993,153.679993,4895200
2017-10-30,153.759995,154.589996,152.710007,154.360001,154.360001,4210400
2017-10-31,154.330002,154.929993,152.929993,154.059998,154.059998,4328300
2017-11-01,154.100006,154.899994,153.830002,154.029999,154.029999,3240200
2017-11-02,154.179993,154.490005,152.910004,153.350006,153.350006,3397600
2017-11-03,153.419998,153.470001,151.490005,151.580002,151.580002,4431800
2017-11-06,151.770004,151.820007,150.279999,150.839996,150.839996,4498400
2017-11-07,151.369995,151.479996,150.500000,150.910004,150.910004,257913
